continent,Year,Life Expectancy at Birth
AMERICA,2002,77.245
AMERICA,2003,77.401
AMERICA,2021,77.73
AMERICA,2004,77.796
AMERICA,2005,77.805
AMERICA,2020,77.869
AMERICA,2006,78.099
AMERICA,2007,78.338
AMERICA,2008,78.443
AMERICA,2009,78.81
AMERICA,2010,79.026
AMERICA,2011,79.087
AMERICA,2017,79.14
AMERICA,2016,79.165
AMERICA,2015,79.172
AMERICA,2012,79.218
AMERICA,2013,79.233
AMERICA,2018,79.296
AMERICA,2014,79.299
AMERICA,2019,79.46
ASIA,1960,41.705
ASIA,1950,42.024
ASIA,1951,42.996
ASIA,1952,44.268
ASIA,1959,44.311
ASIA,1953,44.877
ASIA,1961,45.337
ASIA,1954,45.766
ASIA,1955,46.331
ASIA,1956,46.839
ASIA,1957,47.333
ASIA,1958,47.844
ASIA,1962,49.631
ASIA,1963,50.281
ASIA,1965,50.58
ASIA,1964,50.949
ASIA,1966,51.479
ASIA,1967,52.142
ASIA,1968,53.043
ASIA,1971,53.362
ASIA,1969,53.628
ASIA,1970,53.931
ASIA,1972,55.281
ASIA,1973,55.92
ASIA,1974,56.421
ASIA,1975,56.685
ASIA,1976,57.211
ASIA,1977,58.018
ASIA,1978,58.53
ASIA,1979,59.116
ASIA,1980,59.604
ASIA,1981,60.108
ASIA,1982,60.614
ASIA,1983,61.073
ASIA,1984,61.541
ASIA,1985,61.982
ASIA,1986,62.486
ASIA,1987,62.938
ASIA,1988,63.267
ASIA,1989,63.701
ASIA,1990,64.039
ASIA,1991,64.229
ASIA,1992,64.754
ASIA,1993,65.109
ASIA,1994,65.413
ASIA,1995,65.697
ASIA,1996,66
ASIA,1997,66.414
ASIA,1998,66.863
ASIA,1999,67.213
ASIA,2000,67.629
ASIA,2001,68.126
ASIA,2002,68.528
ASIA,2003,68.927
ASIA,2004,69.163
ASIA,2005,69.615
ASIA,2006,70.05
ASIA,2007,70.346
ASIA,2008,70.511
ASIA,2009,70.992
ASIA,2010,71.347
ASIA,2011,71.675
ASIA,2012,72.042
ASIA,2013,72.39
ASIA,2021,72.532
ASIA,2014,72.784
ASIA,2015,73.121
ASIA,2016,73.445
ASIA,2017,73.681
ASIA,2020,73.742
ASIA,2018,73.991
ASIA,2019,74.188
EUROPE,1951,62.814
EUROPE,1950,62.834
EUROPE,1952,64.047
EUROPE,1953,64.677
EUROPE,1954,65.456
EUROPE,1955,66.048
EUROPE,1956,66.94
EUROPE,1957,66.946
EUROPE,1959,68.144
EUROPE,1958,68.197
EUROPE,1960,68.753
EUROPE,1962,68.894
EUROPE,1961,69.09
EUROPE,1963,69.2
EUROPE,1969,69.64
EUROPE,1965,69.796
EUROPE,1964,69.866
EUROPE,1968,69.913
EUROPE,1970,69.972
EUROPE,1967,70.014
EUROPE,1966,70.024
EUROPE,1971,70.107
EUROPE,1972,70.339
EUROPE,1973,70.401
EUROPE,1975,70.532
EUROPE,1976,70.626
EUROPE,1974,70.644
EUROPE,1977,70.874
EUROPE,1978,70.886
EUROPE,1980,70.946
EUROPE,1979,70.952
EUROPE,1981,71.241
EUROPE,1983,71.49
EUROPE,1982,71.535
EUROPE,1984,71.604
EUROPE,1985,71.749
EUROPE,1993,72.079
EUROPE,1994,72.088
EUROPE,1995,72.187
EUROPE,1986,72.524
EUROPE,1992,72.677
EUROPE,1987,72.702
EUROPE,1996,72.738
EUROPE,1988,72.813
EUROPE,1991,72.869
EUROPE,1990,72.884
EUROPE,1989,72.936
EUROPE,1997,73.248
EUROPE,1999,73.364
EUROPE,2000,73.523
EUROPE,1998,73.569
EUROPE,2002,73.761
EUROPE,2001,73.78
EUROPE,2003,73.838
EUROPE,2004,74.379
EUROPE,2005,74.508
EUROPE,2006,75.165
EUROPE,2007,75.553
EUROPE,2008,75.849
EUROPE,2009,76.294
EUROPE,2010,76.546
EUROPE,2021,77.034
EUROPE,2011,77.082
EUROPE,2012,77.253
EUROPE,2013,77.581
EUROPE,2020,77.74
EUROPE,2014,77.922
EUROPE,2015,77.992
EUROPE,2016,78.427
EUROPE,2017,78.662
EUROPE,2018,78.788
EUROPE,2019,79.122
OCEANIA,1951,60.626
OCEANIA,1950,61.377
OCEANIA,1952,62.001
OCEANIA,1953,62.681
OCEANIA,1954,63.01
OCEANIA,1955,63.439
OCEANIA,1956,63.568
OCEANIA,1957,63.986
OCEANIA,1959,64.536
OCEANIA,1958,64.618
OCEANIA,1960,65.051
OCEANIA,1962,65.394
OCEANIA,1961,65.399
OCEANIA,1964,65.49
OCEANIA,1963,65.659
OCEANIA,1965,65.8
OCEANIA,1966,65.837
OCEANIA,1968,66.245
OCEANIA,1967,66.329
OCEANIA,1970,66.624
OCEANIA,1969,66.738
OCEANIA,1971,67.44
OCEANIA,1972,67.797
OCEANIA,1973,68.045
OCEANIA,1974,68.062
OCEANIA,1975,68.772
OCEANIA,1976,68.898
OCEANIA,1977,69.405
OCEANIA,1978,69.818
OCEANIA,1979,70.295
OCEANIA,1980,70.493
OCEANIA,1981,70.871
OCEANIA,1982,70.919
OCEANIA,1983,71.49
OCEANIA,1985,71.647
OCEANIA,1984,71.673
OCEANIA,1986,72.116
OCEANIA,1987,72.201
OCEANIA,1988,72.466
OCEANIA,1989,72.49
OCEANIA,1990,73.194
OCEANIA,1991,73.574
OCEANIA,1992,73.634
OCEANIA,1994,73.989
OCEANIA,1993,74.034
OCEANIA,1995,74.272
OCEANIA,1996,74.307
OCEANIA,1997,74.578
OCEANIA,1998,74.713
OCEANIA,1999,75.076
OCEANIA,2000,75.36
OCEANIA,2002,75.534
OCEANIA,2001,75.563
OCEANIA,2003,75.834
OCEANIA,2004,76.024
OCEANIA,2005,76.352
OCEANIA,2006,76.464
OCEANIA,2007,76.492
OCEANIA,2008,76.778
OCEANIA,2009,77.042
OCEANIA,2010,77.361
OCEANIA,2011,77.484
OCEANIA,2012,77.69
OCEANIA,2013,77.957
OCEANIA,2014,77.984
OCEANIA,2015,78.162
OCEANIA,2016,78.354
OCEANIA,2017,78.543
OCEANIA,2019,78.749
OCEANIA,2018,78.827
OCEANIA,2021,79.444
OCEANIA,2020,79.496
